"행정구역","2020년_거주자 인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율"
"서울특별시 서대문구 충현동(1141056500)","20,197","9,931","          2.03","9,742","10,455","          0.93"
"서울특별시 서대문구 신촌동(1141058500)","18,590","12,800","          1.45","8,284","10,306","          0.80"
"서울특별시 서대문구 연희동(1141061500)","35,484","18,385","          1.93","17,074","18,410","          0.93"
"서울특별시 서대문구 홍제제1동(1141062000)","23,871","10,180","          2.34","11,241","12,630","          0.89"
"서울특별시 서대문구 홍제제3동(1141064000)","15,450","6,836","          2.26","7,487","7,963","          0.94"
"서울특별시 서대문구 홍제제2동(1141065500)","13,970","5,729","          2.44","6,652","7,318","          0.91"
"서울특별시 서대문구 홍은제1동(1141066000)","22,562","9,397","          2.40","10,913","11,649","          0.94"
"서울특별시 서대문구 홍은제2동(1141068500)","26,412","11,914","          2.22","12,783","13,629","          0.94"
"서울특별시 서대문구 남가좌제1동(1141069000)","15,571","5,641","          2.76","7,489","8,082","          0.93"
"서울특별시 서대문구 남가좌제2동(1141070000)","29,504","12,910","          2.29","14,235","15,269","          0.93"
"서울특별시 서대문구 북가좌제1동(1141071000)","18,201","6,802","          2.68","8,793","9,408","          0.93"
"서울특별시 서대문구 북가좌제2동(1141072000)","32,116","14,435","          2.22","15,614","16,502","          0.95"
"서울특별시 마포구 (1144000000)","364,419","172,774","          2.11","171,624","192,795","          0.89"
"서울특별시 마포구 아현동(1144055500)","25,072","10,100","          2.48","11,750","13,322","          0.88"
"서울특별시 마포구 공덕동(1144056500)","37,442","18,173","          2.06","17,689","19,753","          0.90"
"서울특별시 마포구 도화동(1144058500)","21,239","9,122","          2.33","10,216","11,023","          0.93"
"서울특별시 마포구 용강동(1144059000)","21,537","9,094","          2.37","10,134","11,403","          0.89"
"서울특별시 마포구 대흥동(1144060000)","13,935","7,975","          1.75","6,745","7,190","          0.94"
"서울특별시 마포구 염리동(1144061000)","11,724","5,378","          2.18","5,626","6,098","          0.92"
"서울특별시 마포구 신수동(1144063000)","22,807","9,969","          2.29","11,102","11,705","          0.95"
"서울특별시 마포구 서강동(1144065500)","24,239","11,306","          2.14","11,544","12,695","          0.91"
"서울특별시 마포구 서교동(1144066000)","24,580","14,899","          1.65","11,200","13,380","          0.84"
"서울특별시 마포구 합정동(1144068000)","17,491","9,210","          1.90","8,118","9,373","          0.87"
"서울특별시 마포구 망원제1동(1144069000)","20,426","10,236","          2.00","9,597","10,829","          0.89"
"서울특별시 마포구 망원제2동(1144070000)","18,804","8,405","          2.24","8,848","9,956","          0.89"
"서울특별시 마포구 연남동(1144071000)","15,220","8,583","          1.77","7,209","8,011","          0.90"
"서울특별시 마포구 성산제1동(1144072000)","18,989","9,156","          2.07","8,920","10,069","          0.89"
"서울특별시 마포구 성산제2동(1144073000)","39,864","18,663","          2.14","18,136","21,728","          0.83"
"서울특별시 마포구 상암동(1144074000)","31,050","12,505","          2.48","14,790","16,260","          0.91"
"서울특별시 양천구 (1147000000)","449,158","176,823","          2.54","220,301","228,857","          0.96"
"서울특별시 양천구 목1동(1147051000)","31,338","10,393","          3.02","15,050","16,288","          0.92"
"서울특별시 양천구 목2동(1147052000)","30,035","12,929","          2.32","14,593","15,442","          0.95"
"서울특별시 양천구 목3동(1147053000)","22,121","9,866","          2.24","10,566","11,555","          0.91"
"서울특별시 양천구 목4동(1147054000)","25,733","9,949","          2.59","12,585","13,148","          0.96"
"서울특별시 양천구 목5동(1147055000)","41,865","13,381","          3.13","20,749","21,116","          0.98"
"서울특별시 양천구 신월1동(1147056000)","20,586","9,943","          2.07","10,562","10,024","          1.05"
"서울특별시 양천구 신월2동(1147057000)","21,118","8,437","          2.50","10,354","10,764","          0.96"
"서울특별시 양천구 신월3동(1147058000)","15,477","7,821","          1.98","8,147","7,330","          1.11"
"서울특별시 양천구 신월4동(1147059000)","18,221","6,828","          2.67","8,955","9,266","          0.97"
"서울특별시 양천구 신월5동(1147060000)","14,831","6,315","          2.35","7,330","7,501","          0.98"
"서울특별시 양천구 신월6동(1147061000)","13,576","5,088","          2.67","6,685","6,891","          0.97"
"서울특별시 양천구 신월7동(1147061100)","20,257","9,036","          2.24","9,925","10,332","          0.96"
"서울특별시 양천구 신정1동(1147062000)","20,740","7,058","          2.94","10,119","10,621","          0.95"
"서울특별시 양천구 신정2동(1147063000)","19,791","6,940","          2.85","9,691","10,100","          0.96"
"서울특별시 양천구 신정3동(1147064000)","46,004","17,594","          2.61","22,418","23,586","          0.95"
"서울특별시 양천구 신정4동(1147065000)","33,093","15,712","          2.11","16,199","16,894","          0.96"
"서울특별시 양천구 신정6동(1147067000)","24,852","8,199","          3.03","12,088","12,764","          0.95"
"서울특별시 양천구 신정7동(1147068000)","29,520","11,334","          2.60","14,285","15,235","          0.94"
"서울특별시 강서구 (1150000000)","573,472","262,053","          2.19","276,812","296,660","          0.93"
"서울특별시 강서구 염창동(1150051000)","41,530","15,594","          2.66","20,199","21,331","          0.95"
"서울특별시 강서구 등촌제1동(1150052000)","23,904","12,998","          1.84","11,186","12,718","          0.88"
"서울특별시 강서구 등촌제2동(1150053000)","20,926","8,635","          2.42","10,264","10,662","          0.96"
"서울특별시 강서구 등촌제3동(1150053500)","31,192","14,845","          2.10","14,856","16,336","          0.91"
"서울특별시 강서구 화곡제1동(1150054000)","51,633","26,391","          1.96","25,054","26,579","          0.94"
"서울특별시 강서구 화곡제2동(1150055000)","18,184","8,041","          2.26","8,859","9,325","          0.95"
"서울특별시 강서구 화곡제3동(1150056000)","21,545","9,207","          2.34","10,352","11,193","          0.92"
"서울특별시 강서구 화곡제4동(1150057000)","20,885","9,581","          2.18","10,207","10,678","          0.96"
"서울특별시 강서구 화곡본동(1150059000)","34,163","16,480","          2.07","16,660","17,503","          0.95"
"서울특별시 강서구 화곡제6동(1150059100)","24,598","11,993","          2.05","12,007","12,591","          0.95"
"서울특별시 강서구 화곡제8동(1150059300)","24,885","11,559","          2.15","11,962","12,923","          0.93"
"서울특별시 강서구 가양제1동(1150060300)","33,873","19,846","          1.71","15,637","18,236","          0.86"
"서울특별시 강서구 가양제2동(1150060400)","14,332","7,914","          1.81","6,777","7,555","          0.90"
"서울특별시 강서구 가양제3동(1150060500)","15,297","7,766","          1.97","7,155","8,142","          0.88"
"서울특별시 강서구 발산제1동(1150061100)","37,083","13,327","          2.78","17,608","19,475","          0.90"
"서울특별시 강서구 우장산동(1150061500)","43,235","15,811","          2.73","20,698","22,537","          0.92"
"서울특별시 강서구 공항동(1150062000)","26,494","12,449","          2.13","13,463","13,031","          1.03"
"서울특별시 강서구 방화제1동(1150063000)","43,903","17,216","          2.55","21,433","22,470","          0.95"
"서울특별시 강서구 방화제2동(1150064000)","22,612","11,275","          2.01","11,170","11,442","          0.98"
"서울특별시 강서구 방화제3동(1150064100)","23,198","11,125","          2.09","11,265","11,933","          0.94"
